study,model_name,condition,quantity,estimate,n,n_clusters,lo,hi
A1,phi-4-mini-instruct,cure_centred_svd_r1_a1,mean |C_raw|,0.284375,160.0,160.0,0.2390625,0.333203125
A1,phi-4-mini-instruct,cure_centred_svd_r1_a1,mean |C_logp|,0.39378359317779543,160.0,160.0,0.33038406014442445,0.46362607657909394
A1,phi-4-mini-instruct,cure_centred_svd_r1_a1,mean |C_margin|,0.4088384083339146,160.0,160.0,0.3243170756798286,0.5035315142049418
A1,phi-4-mini-instruct,leace_faithful_r1_a1,mean |C_raw|,0.4140625,160.0,160.0,0.35390625,0.4765625
A1,phi-4-mini-instruct,leace_faithful_r1_a1,mean |C_logp|,0.670403265953064,160.0,160.0,0.5776551693677902,0.7690210372209548
A1,phi-4-mini-instruct,leace_faithful_r1_a1,mean |C_margin|,0.62694247357257,160.0,160.0,0.5009558095560446,0.7631840402429754
A1,phi-4-mini-instruct,leace_sequential_r1_a1,mean |C_raw|,0.418359375,160.0,160.0,0.35859375,0.482421875
A1,phi-4-mini-instruct,leace_sequential_r1_a1,mean |C_logp|,0.6487260818481445,160.0,160.0,0.5508856040239334,0.7522874701023102
A1,phi-4-mini-instruct,leace_sequential_r1_a1,mean |C_margin|,0.6434426121897512,160.0,160.0,0.5192453495867841,0.7767938137054443
A1,phi-4-mini-instruct,leace_swap_300_r1_a1,mean |C_raw|,0.40703125,160.0,160.0,0.349609375,0.467578125
A1,phi-4-mini-instruct,leace_swap_300_r1_a1,mean |C_logp|,0.6612886667251587,160.0,160.0,0.569829027056694,0.759222228527069
A1,phi-4-mini-instruct,leace_swap_300_r1_a1,mean |C_margin|,0.6088390102634182,160.0,160.0,0.4934268994764848,0.7354984419686453
A1,phi-4-mini-instruct,leace_swap_max_noshrink_r1_a1,mean |C_raw|,0.385546875,160.0,160.0,0.330078125,0.444921875
A1,phi-4-mini-instruct,leace_swap_max_noshrink_r1_a1,mean |C_logp|,0.6537052869796753,160.0,160.0,0.5638657581806182,0.7489590072631835
A1,phi-4-mini-instruct,leace_swap_max_noshrink_r1_a1,mean |C_margin|,0.6514393694989093,160.0,160.0,0.5255596597473343,0.7857236512295611
